A1;75100;51001;62593;62041;62274;59350;;;
A2;62593;59122;59606;;;;;;
A4;75100;51454;51108;57463;67482;;;;
A5;75100;89387;10387;52269;;;;;
A6;75100;45115;21231;71270;69380;;;;
A7;69380;82186;84087;13001;13200;;;;
A8;13001;83031;6029;;;;;;
A9;66136;11262;34172;30189;84087;;;;
A10;75100;78499;45093;45234;37261;37154;86194;79191;17415
A11;75100;72181;49007;44109;;;;;
A13;75100;76540;14528;14118;;;;;
A16;75100;80021;62193;59183;;;;;
A19;45093;45104;45115;89387;;;;;
A20;82121;19031;87085;5036;18279;;;;
A23;59606;59350;;;;;;;
A26a;62193;62041;59122;2691;51454;;;;
A26b;51108;10387;;;;;;;
A29;2691;51001;80021;76351;;;;;
A31;21231;52269;54395;57463;;;;;
A36;21231;68224;;;;;;;
A39;21231;1053;;;;;;;
A40;71270;1053;1304;74012;74056;;;;
A41;74012;74010;73065;38185;;;;;
A42;1304;69380;;;;;;;
A43;69380;73065;;;;;;;
A48;38185;69380;;;;;;;
A49;82186;38185;;;;;;;
A50;13200;83137;;;;;;;
A54;30189;13001;;;;;;;
A57;83031;83137;;;;;;;
A61;11262;31555;;;;;;;
A62;33063;82121;31555;;;;;;
A63;33063;64102;64483;;;;;;
A64;64102;65440;31555;;;;;;
A68;31555;81099;;;;;;;
A71;45234;18279;18033;63113;;;;;
A75;34172;63113;;;;;;;
A77;45104;58194;;;;;;;
A81;72181;53130;35238;;;;;;
A83;44109;76904;79191;;;;;;
A84;14118;35238;;;;;;;
A85;18279;37261;49007;;;;;;
A87;49007;76904;85191;;;;;;
A89;69380;63113;19031;33063;;;;;
A837;17415;17299;;;;;;;
